Fecha, Hora, Temp. Ambiental (DHT11), Humedad (DHT11), CO2 PPM (MQ135),  Temp. Corporal (MLX90614), Pulso Card. (MAX30102), Oxigenacion (MAX30102)
04/12/2024, 00:32:23, 17.40, 69.00, 80, 19.33, 0.00, 0.00
04/12/2024, 00:32:30, 17.40, 69.00, 83, 19.25, 0.00, 0.00
04/12/2024, 00:32:36, 17.40, 69.00, 83, 19.29, 0.00, 0.00
04/12/2024, 00:32:42, 17.50, 69.00, 80, 19.29, 0.00, 0.00
04/12/2024, 00:32:49, 17.80, 69.00, 80, 19.33, 0.00, 0.00
04/12/2024, 00:32:55, 17.80, 69.00, 83, 19.33, 0.00, 0.00
04/12/2024, 00:33:02, 17.80, 68.00, 83, 19.25, 0.00, 0.00
04/12/2024, 00:33:08, 17.80, 68.00, 83, 19.23, 0.00, 0.00
04/12/2024, 00:33:14, 17.80, 68.00, 83, 19.35, 0.00, 0.00
04/12/2024, 00:33:21, 17.80, 68.00, 80, 19.39, 0.00, 0.00
04/12/2024, 00:33:27, 17.80, 68.00, 80, 19.39, 0.00, 0.00
04/12/2024, 00:33:33, 17.80, 68.00, 80, 19.33, 0.00, 0.00
04/12/2024, 00:33:40, 17.80, 68.00, 83, 19.45, 0.00, 0.00
04/12/2024, 00:33:46, 17.80, 68.00, 80, 19.39, 0.00, 0.00
04/12/2024, 00:33:52, 17.80, 68.00, 80, 19.33, 0.00, 0.00
04/12/2024, 00:33:59, 17.80, 68.00, 80, 19.47, 0.00, 0.00
04/12/2024, 00:34:05, 17.80, 68.00, 80, 19.41, 0.00, 0.00
04/12/2024, 00:34:11, 17.80, 68.00, 80, 19.39, 0.00, 0.00
04/12/2024, 00:34:18, 17.80, 68.00, 80, 19.35, 0.00, 0.00
04/12/2024, 00:34:24, 17.80, 67.00, 80, 19.39, 0.00, 0.00
04/12/2024, 00:34:30, 17.80, 67.00, 80, 19.41, 0.00, 0.00
04/12/2024, 00:34:43, 18.20, 67.00, 80, 19.45, 0.00, 0.00
04/12/2024, 00:34:49, 18.20, 67.00, 80, 19.47, 0.00, 0.00
